skill,count,precent
sql,4150,75.84
python,3440,62.87
pandas,604,11.04
tableau,551,10.07
postgresql,504,9.21
b,446,8.15
pytorch,376,6.87
numpy,346,6.32
git,263,4.81
matplotlib,249,4.55
data analysis,225,4.11
docker,180,3.29
pyspark,172,3.14
greenplum,166,3.03
tensorflow,165,3.02
jira,151,2.76
mysql,133,2.43
uml,131,2.39
big data,123,2.25
r,109,1.99
airflow,105,1.92
linux,100,1.83
xgboost,100,1.83
sql server,98,1.79
rest api,95,1.74
qlikview,88,1.61
ad hoc,85,1.55
machine learning,82,1.5
hive,81,1.48
data science,79,1.44
agile,77,1.41
seaborn,70,1.28
grafana,69,1.26
bigquery,66,1.21
json,65,1.19
scipy,64,1.17
devops,64,1.17
catboost,63,1.15
microsoft certified azure,60,1.1
nosql,60,1.1
java,59,1.08
plotly,57,1.04
databricks,56,1.02
splunk,56,1.02
amplitude,56,1.02
deep learning,56,1.02
mongodb,49,0.9
confluence,47,0.86
scrum,42,0.77
flask,42,0.77
supervised,38,0.69
business studio,38,0.69
javascript,38,0.69
data data,37,0.68
hoc analysis,35,0.64
c,35,0.64
transformers,34,0.62
vertica,34,0.62
opencv,33,0.6
figma,31,0.57
analysis marketing,30,0.55
oracle bi,29,0.53
nltk,28,0.51
bash,26,0.48
google analytics,25,0.46
statistica,25,0.46
bi power,24,0.44
sql oracle,24,0.44
sas,24,0.44
platforms microsoft,24,0.44
hadoop apache,23,0.42
data mining,23,0.42
c++,23,0.42
analytics,23,0.42
keras,23,0.42
data engineer,22,0.4
mapping,21,0.38
data vault,21,0.38
typescript,21,0.38
cloud platforms,21,0.38
snowflake,20,0.37
data warehouse,20,0.37
forecasting,20,0.37
redmine,19,0.35
mixpanel,19,0.35
camunda,18,0.33
gitlab,18,0.33
bizagi,18,0.33
spss,17,0.31
pd,16,0.29
android,15,0.27
rabbitmq,15,0.27
feature engineering,15,0.27
swagger,15,0.27
microservices,15,0.27
selenium,15,0.27
spacy,14,0.26
oracle oracle,14,0.26
data integration,14,0.26
groovy,14,0.26
streaming data,14,0.26
template,13,0.24
economics,13,0.24
english,13,0.24
tableau tableau,13,0.24
