title,position,requirements
"Middle Data Scientist, Аномалии и Документы, CV, Озон Банк",middle,[]
"Middle Data Scientist, Аномалии и Документы, CV, Озон Банк",middle,[]
Data Scientist,middle,['python']
Аналитик данных,junior,"['python', 'postgresql', 'python', 'numpy', 'pandas', 'scipy', 'matplotlib', 'pyspark', 'sql']"
Data analyst / Аналитик данных (ученик),intern,"['python', 'sql', 'nosql', 'data engineer']"
BI-аналитик (IT),junior,['sql']
Аналитик данных / Data analyst,middle,"['sql', 'b', 'python']"
Аналитик данных/системный аналитик (middle),middle,[]
Аналитик данных (Антифрод),middle,"['sql', 'python', 'sql', 'greenplum', 'postgresql', 'python', 'pandas', 'matplotlib', 'seaborn', 'analytics', 'underwriting']"
Бизнес-аналитик (внедрение BI отчетности),junior,"['vertica', 'tableau tableau', 'qlikview']"
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик безопасности данных,middle,[]
BI Analyst (Tableau),middle,"['sql', 'tableau']"
Аналитик бизнес-процессов,middle,['sql']
"Middle +/ Senior Data Scientist (AdTech, предсказательные модели) (офис)",middle,"['python', 'pandas', 'numpy', 'r', 'matplotlib', 'scipy', 'keras', 'pytorch', 'tensorflow']"
Аналитик данных телеметрии,junior,[]
"Старший Data Scientist, Отбор кандидатов",senior,[]
Младший аналитик бизнес-процессов,junior,[]
Аналитик данных - контролер качества данных,junior,['sql']
BI-аналитик,junior,"['sql', 'python']"
Специалист по аналитике данных,junior,['sql']
Специалист по большим данным,junior,"['sql', 'python', 'git']"
Аналитик данных (розничная торговля),middle,['sql']
"Front-end разработчик (продукт по аналитике данных, Next.js)",middle,"['react', 'typescript', 'redux', 'git']"
Data scientist (команда CRM и модели оптимизации),junior,"['python', 'pyspark', 'python']"
Аналитик данных,junior,"['python', 'numpy', 'pandas', 'flask', 'sql', 'docker', 'git', 'python', 'numpy', 'pandas', 'pandas', 'flask', 'swagger']"
Аналитик данных\Рыночный аналитик Middle+\Senior,middle,"['sql', 'grafana', 'numpy', 'scipy']"
Аналитик данных (DWH/BI),middle,"['postgresql', 'greenplum', 'python']"
Junior Data Analyst (mobile games),junior,"['python', 'sql', 'pandas', 'b']"
Бизнес-аналитик (аналитик бизнес-процессов/системный аналитик),junior,"['uml', 'business studio']"
BI-аналитик (разработчик),junior,['sql']
Аналитик данных (Data analyst),middle,"['sql', 'python', 'sql', 'python', 'pandas', 'nltk', 'spacy', 'r', 'parquet', 'avro', 'json', 'data capture', 'cdc', 'gitlab', 'data vault', 'nosql']"
Junior Data Scientist,junior,"['sql', 'data data', 'data data', 'data analysis', 'r', 'python']"
Аналитик данных (предиктивная аналитика),junior,"['python', 'sql']"
Аналитик бизнес-процессов (начального уровня),intern,['uml']
Lead Data & ML Analyst (Tech lead),senior,"['data analysis', 'data analysis', 'analysis marketing', 'machine learning', 'python', 'sql', 'data pipelines', 'forecasting', 'tableau', 'leadership', 'economics']"
Аналитик данных / Data analyst (Аналитика недвижимости),junior,"['sql', 'python']"
Аналитик данных,junior,['sql']
Data analyst,middle,"['sql', 'tableau', 'python', 'r']"
Аналитик данных(BI разработчик),junior,"['sql', 'sql', 'python']"
Аналитик данных e-commerce,junior,['b']
BI аналитик | Middle - Senior,middle,"['c', 'json', 'uml', 'jira', 'redmine', 'agile', 'scrum']"
Аналитик данных PowerBI,junior,"['sql', 'sql']"
Эксперт/Senior эксперт Ценовой центр (Data Scientist),senior,"['pd', 'python', 'sql', 'git']"
Ведущий Data Scientist (BI-аналитик),senior,"['sql', 'python']"
Главный специалист по бизнес-аналитике (BI) в коммерческом управлении,senior,[]
Аналитик данных,middle,"['javascript', 'python', 'python', 'java', 'javascript']"
Аналитик бизнес-процессов/Бизнес-аналитик/Senior,senior,['scrum']
Ведущий аналитик данных,senior,"['sql', 'rest api']"
Специалист по данным рынка облигаций,junior,[]
Аналитик данных,junior,[]
Аналитик по управлению данными (data governance),middle,"['sql', 'python', 'data governance']"
Аналитик данных,middle,['sql']
Ведущий аналитик/ Руководитель отдела анализа данных,senior,"['sql', 'python']"
Аналитик данных,intern,[]
Data-analyst / Аналитик данных,junior,"['big data', 'sql', 'python', 'bash', 'pandas', 'numpy', 'matplotlib', 'pyspark']"
Аналитик бизнес-процессов,middle,"['camunda', 'bizagi', 'revit']"
Аналитик данных отдела маркетинга,junior,"['sql', 'mysql', 'sql', 'mysql', 'python']"
"Data Engineer / Data scientist (NLP, LLM)",middle,"['python', 'git']"
Senior Data analyst,senior,['sql']
Аналитик данных,junior,"['sql', 'pandas', 'plotly', 'sql', 'python', 'pandas', 'plotly', 'python', 'python', 'template', 'python']"
Дата-аналитик (Архитектор баз данных),junior,"['data vault', 'snowflake', 'sql']"
Аналитик данных/программист,intern,"['sql', 'mysql', 'php java', 'sql', 'postgresql', 'firebird', 'interbase', 'mysql']"
Аналитик данных,middle,"['sql', 'postgresql', 'grafana', 'b', 'python', 'pandas', 'ad hoc']"
Аналитик данных,middle,"['sql', 'postgresql', 'grafana', 'b', 'python', 'pandas', 'ad hoc']"
"Middle Data Scientist, Аномалии и Документы, CV, Озон Банк",middle,[]
"Middle Data Scientist, Аномалии и Документы, CV, Озон Банк",middle,[]
Data Scientist,middle,['python']
Аналитик данных,junior,"['python', 'postgresql', 'python', 'numpy', 'pandas', 'scipy', 'matplotlib', 'pyspark', 'sql']"
Data analyst / Аналитик данных (ученик),intern,"['python', 'sql', 'nosql', 'data engineer']"
BI-аналитик (IT),junior,['sql']
Аналитик данных / Data analyst,middle,"['sql', 'b', 'python']"
Аналитик данных/системный аналитик (middle),middle,[]
Аналитик данных (Антифрод),middle,"['sql', 'python', 'sql', 'greenplum', 'postgresql', 'python', 'pandas', 'matplotlib', 'seaborn', 'analytics', 'underwriting']"
Бизнес-аналитик (внедрение BI отчетности),junior,"['vertica', 'tableau tableau', 'qlikview']"
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик в отдел интерпретации геофизических данных,junior,['python']
Аналитик безопасности данных,middle,[]
BI Analyst (Tableau),middle,"['sql', 'tableau']"
Аналитик бизнес-процессов,middle,['sql']
"Middle +/ Senior Data Scientist (AdTech, предсказательные модели) (офис)",middle,"['python', 'pandas', 'numpy', 'r', 'matplotlib', 'scipy', 'keras', 'pytorch', 'tensorflow']"
Аналитик данных телеметрии,junior,[]
"Старший Data Scientist, Отбор кандидатов",senior,[]
Младший аналитик бизнес-процессов,junior,[]
Аналитик данных - контролер качества данных,junior,['sql']
BI-аналитик,junior,"['sql', 'python']"
Специалист по аналитике данных,junior,['sql']
Специалист по большим данным,junior,"['sql', 'python', 'git']"
Аналитик данных (розничная торговля),middle,['sql']
"Front-end разработчик (продукт по аналитике данных, Next.js)",middle,"['react', 'typescript', 'redux', 'git']"
Data scientist (команда CRM и модели оптимизации),junior,"['python', 'pyspark', 'python']"
Аналитик данных,junior,"['python', 'numpy', 'pandas', 'flask', 'sql', 'docker', 'git', 'python', 'numpy', 'pandas', 'pandas', 'flask', 'swagger']"
Аналитик данных\Рыночный аналитик Middle+\Senior,middle,"['sql', 'grafana', 'numpy', 'scipy']"
Аналитик данных (DWH/BI),middle,"['postgresql', 'greenplum', 'python']"
Junior Data Analyst (mobile games),junior,"['python', 'sql', 'pandas', 'b']"
Бизнес-аналитик (аналитик бизнес-процессов/системный аналитик),junior,"['uml', 'business studio']"
BI-аналитик (разработчик),junior,['sql']
Аналитик данных (Data analyst),middle,"['sql', 'python', 'sql', 'python', 'pandas', 'nltk', 'spacy', 'r', 'parquet', 'avro', 'json', 'data capture', 'cdc', 'gitlab', 'data vault', 'nosql']"
Junior Data Scientist,junior,"['sql', 'data data', 'data data', 'data analysis', 'r', 'python']"
Аналитик данных (предиктивная аналитика),junior,"['python', 'sql']"
Аналитик бизнес-процессов (начального уровня),intern,['uml']
Lead Data & ML Analyst (Tech lead),senior,"['data analysis', 'data analysis', 'analysis marketing', 'machine learning', 'python', 'sql', 'data pipelines', 'forecasting', 'tableau', 'leadership', 'economics']"
Аналитик данных / Data analyst (Аналитика недвижимости),junior,"['sql', 'python']"
Аналитик данных,junior,['sql']
Data analyst,middle,"['sql', 'tableau', 'python', 'r']"
Аналитик данных(BI разработчик),junior,"['sql', 'sql', 'python']"
Аналитик данных e-commerce,junior,['b']
BI аналитик | Middle - Senior,middle,"['c', 'json', 'uml', 'jira', 'redmine', 'agile', 'scrum']"
Аналитик данных PowerBI,junior,"['sql', 'sql']"
Эксперт/Senior эксперт Ценовой центр (Data Scientist),senior,"['pd', 'python', 'sql', 'git']"
Ведущий Data Scientist (BI-аналитик),senior,"['sql', 'python']"
Главный специалист по бизнес-аналитике (BI) в коммерческом управлении,senior,[]
Аналитик данных,middle,"['javascript', 'python', 'python', 'java', 'javascript']"
Аналитик бизнес-процессов/Бизнес-аналитик/Senior,senior,['scrum']
Ведущий аналитик данных,senior,"['sql', 'rest api']"
Специалист по данным рынка облигаций,junior,[]
Аналитик данных,junior,[]
Аналитик по управлению данными (data governance),middle,"['sql', 'python', 'data governance']"
Аналитик данных,middle,['sql']
Ведущий аналитик/ Руководитель отдела анализа данных,senior,"['sql', 'python']"
Аналитик данных,intern,[]
Data-analyst / Аналитик данных,junior,"['big data', 'sql', 'python', 'bash', 'pandas', 'numpy', 'matplotlib', 'pyspark']"
Аналитик бизнес-процессов,middle,"['camunda', 'bizagi', 'revit']"
Аналитик данных отдела маркетинга,junior,"['sql', 'mysql', 'sql', 'mysql', 'python']"
"Data Engineer / Data scientist (NLP, LLM)",middle,"['python', 'git']"
Senior Data analyst,senior,['sql']
Аналитик данных,junior,"['sql', 'pandas', 'plotly', 'sql', 'python', 'pandas', 'plotly', 'python', 'python', 'template', 'python']"
Дата-аналитик (Архитектор баз данных),junior,"['data vault', 'snowflake', 'sql']"
Аналитик данных/программист,intern,"['sql', 'mysql', 'php java', 'sql', 'postgresql', 'firebird', 'interbase', 'mysql']"
Аналитик данных,middle,"['sql', 'postgresql', 'grafana', 'b', 'python', 'pandas', 'ad hoc']"
Аналитик данных,middle,"['sql', 'postgresql', 'grafana', 'b', 'python', 'pandas', 'ad hoc']"
Data analyst (аналитик данных),junior,"['pandas', 'numpy', 'matplotlib', 'plotly', 'tableau', 'python', 'postgresql']"
"Senior Analyst (Data & Financial Research) | Blockchain, ML, Web3",senior,"['python', 'sql', 'blockchain']"
Аналитик данных,intern,"['sql', 'python']"
Data Scientist,middle,"['python', 'pyspark', 'sql', 'pandas', 'python', 'sql', 'pyspark']"
Data Scientist,middle,"['python', 'pyspark', 'sql', 'pandas', 'python', 'sql', 'pyspark']"
Data аналитик,senior,"['sql', 'python']"
Data Analyst (Perfluence),junior,"['sql', 'python', 'sql', 'python', 'pandas', 'matplotlib', 'seaborn', 'amplitude', 'airflow', 'postgresql']"
"Back-end разработчик (продукт по аналитике данных, FastAPI)",middle,"['python', 'multiprocessing', 'threading', 'sqlalchemy', 'psycopg', 'rabbitmq', 'sql', 'docker']"
Data Analyst,middle,"['sql', 'mixpanel']"
Системный аналитик/аналитик данных DWH,junior,['sql']
BI-аналитик,junior,['sql']
Data Analyst,junior,"['sql', 'python']"
"Senior Data Scientist, Дипфейки и аномалии, CV, Озон Банк",senior,[]
Middle Data Analyst,middle,"['sql', 'python', 'tableau']"
BI-аналитик,junior,"['sql', 'python']"
Data Scientist (релокация),middle,"['mysql', 'python', 'git']"
Аналитик данных,middle,"['sql', 'tableau', 'google data', 'data studio', 'data studio', 'python', 'r', 'pandas', 'matplotlib', 'seaborn']"
Начинающий аналитик данных / Junior Data Analyst,junior,['data analysis']
Middle Data Analyst,middle,"['sql', 'python', 'sql']"
Бизнес-аналитик / Руководитель по оптимизации бизнес-процессов,senior,[]
Продуктовый аналитик (Bi),junior,"['sql', 'python']"
Главный специалист (аналитик данных),senior,"['sql', 'python']"
Главный специалист/ Аналитик данных (розничные кредитные риски),senior,"['sql', 'postgresql', 'python', 'ar']"
Аналитик данных,junior,[]
Младший аналитик бизнес-процессов,junior,[]
Data scientist (LLM),middle,"['python', 'numpy', 'pytorch', 'deep learning', 'tensorflow', 'pandas']"
Финансовый аналитик / Data Analyst / BI-аналитик,junior,"['sql', 'python', 'sql', 'tableau', 'python']"
Главный менеджер (Аналитик) Управления развития продуктов и бизнес-процессов,senior,"['uml', 'figma', 'agile', 'jira']"
Data analyst ( Мiddle/Middle+ ),middle,"['sql', 'hive', 'postgresql', 'greenplum', 'python', 'pandas', 'scipy', 'numpy', 'matplotlib', 'seaborn', 'plotly', 'bokeh']"
BI-аналитик,middle,[]
Middle Data Analyst,middle,"['python', 'sql']"
Data Scientist,middle,"['python', 'pytorch']"
Senior BI аналитик / Team Lead,senior,['sql']
BI разработчик-аналитик,middle,"['git', 'sql', 'qlikview', 'git', 'rest api', 'json', 'python', 'odbc', 'qlikview', 'django']"
Middle Data Scientist LLM/NLP (клиентская поддержка),middle,[]
Старший BI-аналитик,senior,[]
BI-аналитик,junior,"['qlikview', 'sql', 'rest api']"
Менеджер-аналитик данных,intern,"['sql', 'json', 'sql']"
Аналитик данных,middle,"['sql', 'sql', 'tableau', 'amplitude', 'bigquery', 'python']"
Аналитик данных,middle,"['sql', 'sql', 'tableau', 'amplitude', 'bigquery', 'python']"
Аналитик данных,intern,"['sql', 'python']"
Ведущий аналитик данных / Data Analyst,senior,"['python', 'sql']"
BI-аналитик,junior,['sql']
Senior Data Analyst,senior,"['sql', 'python', 'b']"
Менеджер отдела планирования и прогнозирования /data scientist,middle,"['sql', 'python', 'python']"
Ведущий аналитик в команду Data Hub,senior,[]
"Data Scientist (Senior), страхование",senior,"['python', 'pandas', 'numpy']"
Data Analyst,middle,"['postgresql', 'python', 'sql', 'sql']"
Data analyst (офис),junior,"['sql', 'java']"
Аналитик данных,middle,"['sql', 'python']"
Data Scientist / аналитик (апробирование ML-платформы),junior,['deep learning']
Аналитик данных (Data Analyst / дата-аналитик),middle,"['sql', 'python']"
Специалист по углубленной аналитике данных (Data scientist),junior,"['spss', 'statistica', 'sql', 'data data data', 'data data', 'data data', 'data data', 'data mining', 'r', 'python', 'r']"
Senior Data Scientist LLM,senior,[]
Senior\Lead Data Scientist (LLM) / Ведущий специалист по данным,senior,"['python', 'sql', 'transformers', 'git']"
Senior Data Scientist / Дата-сайентист,senior,"['xgboost', 'pytorch', 'deep learning', 'python']"
Middle BI Analyst,middle,"['sql', 'tableau', 'json']"
