skill,count,precent
sql,4150,75.8406432748538
python,3440,62.86549707602339
pandas,604,11.038011695906432
tableau,551,10.069444444444445
postgresql,504,9.210526315789473
b,446,8.150584795321638
pytorch,376,6.871345029239766
numpy,346,6.323099415204679
git,263,4.806286549707602
matplotlib,249,4.550438596491229
data analysis,225,4.111842105263158
docker,180,3.289473684210526
pyspark,172,3.143274853801169
greenplum,166,3.0336257309941517
tensorflow,165,3.0153508771929824
jira,151,2.759502923976608
mysql,133,2.430555555555556
uml,131,2.3940058479532165
big data,123,2.2478070175438596
r,109,1.9919590643274854
airflow,105,1.9188596491228072
linux,100,1.827485380116959
xgboost,100,1.827485380116959
sql server,98,1.7909356725146197
rest api,95,1.7361111111111112
qlikview,88,1.608187134502924
ad hoc,85,1.5533625730994152
machine learning,82,1.4985380116959064
hive,81,1.4802631578947367
data science,79,1.4437134502923976
agile,77,1.4071637426900585
seaborn,70,1.2792397660818713
grafana,69,1.2609649122807016
bigquery,66,1.2061403508771928
json,65,1.1878654970760234
scipy,64,1.1695906432748537
devops,64,1.1695906432748537
catboost,63,1.151315789473684
microsoft certified azure,60,1.0964912280701753
nosql,60,1.0964912280701753
java,59,1.0782163742690059
plotly,57,1.0416666666666665
databricks,56,1.023391812865497
splunk,56,1.023391812865497
amplitude,56,1.023391812865497
deep learning,56,1.023391812865497
mongodb,49,0.8954678362573099
confluence,47,0.8589181286549707
scrum,42,0.7675438596491228
flask,42,0.7675438596491228
supervised,38,0.6944444444444444
business studio,38,0.6944444444444444
javascript,38,0.6944444444444444
data data,37,0.6761695906432749
hoc analysis,35,0.6396198830409356
c,35,0.6396198830409356
transformers,34,0.6213450292397661
vertica,34,0.6213450292397661
opencv,33,0.6030701754385964
figma,31,0.5665204678362573
analysis marketing,30,0.5482456140350876
oracle bi,29,0.5299707602339181
nltk,28,0.5116959064327485
bash,26,0.4751461988304093
google analytics,25,0.45687134502923976
statistica,25,0.45687134502923976
bi power,24,0.43859649122807015
sql oracle,24,0.43859649122807015
sas,24,0.43859649122807015
platforms microsoft,24,0.43859649122807015
hadoop apache,23,0.42032163742690054
data mining,23,0.42032163742690054
c++,23,0.42032163742690054
analytics,23,0.42032163742690054
keras,23,0.42032163742690054
data engineer,22,0.402046783625731
