title,position,requirements
"Middle Data Scientist, Аномалии и Документы, CV, Озон Банк",middle,Data Science
"Middle Data Scientist, Аномалии и Документы, CV, Озон Банк",middle,Data Science
Data Scientist,middle,"Python, RAG, LLM, Deep Learning"
Аналитик данных,junior,"Python, Clickhouse, Hadoop, PostgreSQL, хорошее знание математической статистики и методик статистической проверки гипотез; знание принципов организации обработки и хранения больших объёмов данных (ClickHouse, Hadoop); отличное знание Python, научных библиотек (Numpy, Pandas, SciPy, MatplotLib, PySpark); уверенное знание SQL и умение работы с типовыми РСУБД."
Data analyst / Аналитик данных (ученик),intern,"Python, SQL, NoSQL, Big Data, Data Engineer, Математический анализ, Математическая статистика, Алгоритмы и структуры данных, Статистика"
BI-аналитик (IT),junior,"ETL, Cognos BI, MS SQL, Power BI"
Аналитик данных / Data analyst,middle,"SQL, A/B тесты, Python"
Аналитик данных/системный аналитик (middle),middle,"Системный анализ, аналитик данных, Teradata, SQL"
Аналитик данных (Антифрод),middle,"SQL, Python, Power BI, Опыт работы аналитиком данных от 2 лет, желательно в банке, МФО или финтехе. Уверенные знания SQL (предпочтительно Greenplum, PostgreSQL). Умение работать с Python (pandas, matplotlib/seaborn, sklearn – на базовом уровне). Знание Excel (включая Power Query, сводные таблицы) и Power BI. Способность работать с большими объемами данных и проводить причинно-следственный анализ. Преимуществом будет опыт в fraud analytics или в смежных направлениях (риск, скоринг, underwriting)., Условия:, Официальное трудоустройство Релокация с нашей помощью в Ташкент Конкурентоспособная оплата труда Офис в центре города Работа с командой профессионалов График работы 5/2"
Бизнес-аналитик (внедрение BI отчетности),junior,"Анализ бизнес показателей, Power BI, Бизнес-анализ, Анализ данных, MS Power BI, Аналитика, Автоматизация процессов, Постановка задач разработчикам, Аналитическое мышление, Визуализация данных, Vertica, BI Tableau, Tableau, QlikView"
