title,position,requirements
Аналитик данных,middle,[]
BI - аналитик/аналитик данных,junior,[]
Аналитик данных телеметрии,junior,"['MS Excel', '1С', 'Анализ данных', 'Работа с большим объемом информации', 'Аналитическое мышление', 'Сбор и анализ информации', 'Деловая переписка']"
Аналитик данных - контролер качества данных,junior,"['SQL', 'Анализ данных', 'Работа с большим объемом информации', 'Визуализация данных', 'Работа с базами данных', 'Интерпретация данных']"
Аналитик данных (gamedev),junior,[]
Специалист по аналитике данных,junior,"['SQL', 'Аналитические исследования', 'MS PowerPoint', 'Работа с базами данных', 'Прогнозирование', 'Аналитика', 'Машинное обучение', 'Анализ данных', 'Базы данных']"
Аналитик данных (розничная торговля),middle,"['VBA', 'MS SQL', 'MS Excel']"
"Front-end разработчик (продукт по аналитике данных, Next.js)",middle,"['React', 'Next', 'TypeScript', 'SSR', 'SSG', 'APP Routes', 'Zustand', 'Redux', 'Git', 'SPA', 'FSD', 'Zod']"
Аналитик данных,junior,"['Python', 'Статистический анализ', 'Numpy', 'pandas', 'Flask', 'Scikit-learn', 'SQL', 'Docker', 'Git', 'Фундаментальные знания в области (био)статистического анализа Уверенное владение Python и пакетами для анализа данных NumPy, Pandas и Scikit-learn Понимание векторных операций, преобразований и табличных трансформаций с ипользованием инструментов пакета Pandas Системное мышление Высокий уровень ответственности и позитивный настрой Желание постоянно учиться Английский язык не ниже уровня upper-intermediate Умение вести несколько проектов одновременно Умение работать как в команде, так и самостоятельно Опыт работы с микросервисной архитектурой (Flask, Swagger) будет плюсом Опыт работы с ML, DL также будет плюсом']"
Аналитик данных\Рыночный аналитик Middle+\Senior,middle,"['СУБД, Arenadata/Green, Plum/Postgre, SQL, Grafana, NumPy, SciPy']"
Младший аналитик данных,junior,[]
Аналитик данных (DWH/BI),middle,"['PL/SQL', 'Системный анализ', 'PostgreSQL', 'Greenplum', 'BI', 'Python', 'Анализ данных', 'DataVault', 'Hadoop', 'ORACLE']"
Junior Data Analyst (mobile games),junior,"['Python', 'SQL', 'pandas', 'A/B тесты']"
Аналитик данных (Data analyst),middle,"['SQL', 'Python', 'Big Data', 'Степень бакалавра/магистра в области компьютерных наук, лингвистики, Сильные аналитические и количественные навыки Опыт анализа текстовых данных ( NLP ): токенизация, классификация, извлечение сущностей Знание SQL, Python (библиотеки: Pandas, NLTK, spaCy, dbt), R Опыт обработки данных в форматах: Parquet , ORC, Avro, XML, CSV/TSV, JSON Знание и опыт работы с ETL/ELT , Apache Spark, Apache Airflow, Apache Kafka и Debezium или других инструментов для change data capture (CDC), gitlab Понимание методологий проектирования Баз Данных ( Data Vault, Anchor Modeling ) и NoSQL-решений для хранения текстовых данных Глубокое понимание концепций, технологий и методологий построения хранилищ данных Опыт работы с инструментами визуализации данных и бизнес-аналитики Отличные коммуникативные и межличностные навыки Умение документировать процессы категоризации и паттерны Опыт написания Технических Заданий', 'Дополнительные желательные требования (будет плюсом):', 'Сертификация в области анализа данных или хранилищ данных Data Science или смежных дисциплин. Опыт работы с большими данными и облачными технологиями Знание и опыт методов машинного обучения и искусственного интеллекта (ИИ)', 'Условия: \u200b\u200b\u200b\u200b', 'Формат работы: удаленный или в офисе (Нижний Новгород) Полис ДМС; Возможность профессионального развития и карьерного роста, профессиональная команда. Уровень вознаграждения обсуждается индивидуально с успешным кандидатом. Оформление по ТК РФ.']"
Аналитик данных,junior,[]
Аналитик данных,middle,[]
Game Data Analyst,middle,[]
Аналитик данных (предиктивная аналитика),junior,"['Python', 'SQL', 'Анализ данных', 'Работа с большим объемом информации', 'Математическая статистика', 'Извлечение данных', 'Интерпретация данных', 'Исследовательский анализ данных']"
Аналитик данных / Data analyst (Аналитика ассортимента/Ритейл),junior,[]
Аналитик данных / Data analyst (Аналитика недвижимости),junior,"['SQL', 'Python', 'Spark', 'Hadoop']"
